text,category
9. Write what you might have done.,2
25. Construct a market strategy for your product using a known strategy as a model.,2
100. How Do You Think One Should Reason in Making Ethical Decisions in Business,5
65. Organize this book into three or more sections and give your own subtitle for each section.,4
"33. If notes are available on the professor's website, how should those notes be used?",2
44. Relate topographic map to field features,2
9. Calculate the number of sacrificial anodes that would be required to form a calcareous deposit on a steel pile immersed in seawater.,2
10. Write an explanation about this topic for others,2
75. Summarize Jem's beliefs about Boo Radley,1
31. Design a new animal to live in the jungle.,4
43. Examine the stated positions of both major political candidates with regard to a particular issue and state good reasons  for why one candidates position is more likely to be effective than the other's.,5
"97. In your own words, how would you summarize the story up",1
99. Outline the aim of two studies within the,1
52. Can you solve the following problem,2
11. Justify the object oriented programming concept,5
"88. How effectively did students analyze course content on race, class, and privilege through autobiographical reflection",3
81. Why don't you devise your own way to deal with . . .?,4
"49. If interest were compounded monthly instead of daily, what would the difference in interest be?",3
26. Contrast building in the coastal zone with building in a river floodplain.,3
18. What has the author used to create this effect,3
25. Decide which course of action was most effective,5
89. when was the first airport in the yemen built,0
61. Justify your choice of data structure.,4
63. Rewrite the principles of test writing.,1
95. How would you investigate this patient,3
59. How did Chinese newspapers differ from US,3
72. Revises and process to improve the outcome.,4
"45. Explain how the biological concept of symbiotic relationships could be used to help solve socially created problems like water pollution, overflowing garbage landfills, or homelessness.",4
2. Correctly label the brain lobes indicated on the diagram below,0
58. Classify celebrations into family and community categories.,1
2. Compare historical events to contemporary situations,1
41. Evaluate whether their model is a true representation of the local environment.,5
20. Name three 19th-century women English authors.,0
44. Explain and justify a new budget.,5
10. Calculate the rate of habitat fragmentation within the Colorado Front Range in the last decade.,2
21. Decide whether you are in favor of building on a floodplain; defend your position in a debate.,5
81. What would result if ...,2
17. Memorize and recall the periodic table,0
59. recall the supply voltage constraints,0
"15. Rewrite the story briefly, but change someone or something in it. (For example, substitute a dog for a wolf in The Three Little Pigs).",4
32. Design a poster for this book.,4
18. How much did he pay for his car,0
"83. Write a C program that accepts integer inputs from the screen, computes the total and average values; and displays the values on the screen.",4
33. Do you think . . . is a good or a bad thing?,5
16. Choose and illustrate the two most important events in the story.,5
11. Compose a class story.,4
4. Analyze the following questionnaire.,3
42. How would this story be different if it had happened in a different country?,3
"51. Given two possible solutions, A and B, to solving the given software development problem, decide on the best solution. Give your justification.",5
10. Describe in your own words what is meant by a sprained ankle.,1
46. Investigate innovations that can enhance future Olympics.,3
24. Recall four facts from the story,0
"73. structure, sorts the list in ascending order, displays the list on the screen and stores the list",4
21. Name all the characters in the story.,0
85. Construct a dictionary and a truth table to determine if the following statements are logically equivalent,2
"32. Divide the story into initiating event, rising action, climax, and falling action",3
82. What do you think about . . .?,5
28. Differentiate between .call by value and call by reference.,3
24. Identify fractions from a pictorial representation,0
"22. Create a new song for the opening line of ""Mary had a little lamb"".",4
6. How does the law of supply and demand explain the current increase in the price of fruit?,2
53. How to specify the impact energy and impact test temperature of the material in the Code,2
96. Explain the whole method of crushing,1
16. Describe the major clinical differences between visceral and somatic pain,1
79. What changes to . . . would you recommend?,5
74. Use tableau methods to prove that the following tableau is valid.,2
86. when did the first saudi radio station open,0
2. Can you create new and unusual uses for . . .?,4
78. What does ICT stands for.,0
64. State four attributes of well engineered software.,0
7. Explain how the heart is like a pump.,1
19. Memorize the meaning of ...,0
9. Name the authors of...?,0
15. Compose music for a frog play.,4
4. Appraise data in support of a hypothesis.,5
62. How do we differentiate between genuine buyer and undercover buyer,3
94. Express the following systems in matrix form,1
19. Compose your own note-taking design that incorporates all theadvantages of the Cornell Method.,4
72. State in your own words what the author means when he says,1
45. Explain choices made in making recommendations to an end user.,5
29. Draw a picture of the gown Cinderella wore to the ball.,2
90.  Estimate the epicentral coordinates of the earth-quake,5
2. Analyze the characteristics of frogs.,3
37. List four types of clauses mentioned in the article,0
73.   Use the unification algorithm to determine whether the following two terms are uni_able. Show intermediate step,2
75. Critically examine the strengths and weaknesses of the positivist paradigm,3
13. Prepare a list of criteria to judge ... Evaluate expressions,5
55. Specify the thickness of a galvanized coating based on atmospheric data? (level 2),2
84. What is the most important...?,5
94. Investigate (pointwise) convergence and absolute convergence of the given series of functions,3
4. Describe how interest rates affect the economy,1
62. Recite the principles of the Data Protection Act.,0
37. Make a scrapbook about the areas of study.,2
9. Judge the validity of arguments for and against astrology,5
88. Write a list of criteria to judge the Willy raps.,5
94. How do we efficiently combine multiple subject graphs to construct an aig with choice,4
65. Justify the title To Kill a Mockingbird .,5
71. Select the best proposal for a proposed water treatment plant.,5
23. Write another ending to the story that is different from the author's ending.,4
80. What criteria would you use to assess the validity of a business contract?,5
80.  Can you distinguish for me between what is reasonably  achievable and what are  exaggerations,3
60. Recite a policy of immigration in Europe .,0
35. analyze the positive and negative points presented concerning the abolition of guns and write a brief (2-3page) narrative of your 3.,3
12. How many instructions in the instruction set of RISC computer?,0
91. Contrast the Valles Marineris on Mars with the Grand Canyon,3
69. State in your own words the rule for balls and strikes in baseball.,1
3. Apply the rule of law to a new situation,2
71. In what ways are foxes similar to wolves and dogs,3
"27. Draw 3 pictures showing the beginning, middle and ending of the story.",2
28. Explain the communicative property.,1
"12. Award the contract to the best proposal. Rank the principles of ""good sportsmanship"" in order of importance to you.",5
13. Propose a set of alternatives for reducing dependence on fossil fuels that address both economic and environmental concerns.,4
96. can you devise an explicit formula for,4
65. Rewrite the markov matrix to account for this slight change.,1
9. Draw the basic outline of a page of notes using the Cornell Method?,0
87. Would you have liked to have had Cinderella for a sister? Explain why or why not.,5
74.  Examine the differences between the model excluding the most influential observation and the model including all observations.,3
42. Pretend you are one of the characters in the book. Write a diary about the happenings in your life for two consecutive days.,2
"9. Design a record, book or magazine cover for...",4
"82. In your own words, tell what is meant by the definition of an isosceles triangle.",1
16. What is the 3 of ______________?,3
42. Devise a new economic system based on the ones that already exist.,4
64. Name one character. Rewrite the story from this character's point of view.,4
10. Design a new monetary system or an experiment for establishing.,4
99. who was the first to compose in the arts of makamat,0
3. Label the parts of the diagram,0
24. Create a storyboard for a sequel to your book. Use the same characters.,4
60. Use a manual to calculate an employee's vacation time.,2
"50. Given three possible approaches to implement the defined system, discuss the possible advantages and disadvantages of each approach.",5
87.  Construct a family of networks to demonstrate that the number of different mincuts in a network can be exponential in the size of the network,2
39. Model an Olympic Village for the new Millenium.,2
71. State the rule for balls and strikes in baseball.,0
"36. Differentiate the passages that attacked a political opponent personally, and those that attacked an opponent's political programs.",3
77.  Examine carefully the given map extract on the following page to help you work out the exercise below.,3
53. How would the U.S.A. be different if the South had won the Civil War?,4
"23. Identify a property (commutative, additive, etc(",0
15. List important information you can remember from lesson....,0
74. What are the major products and exports of countries,0
52. Distinguish between abstract date types (ADTs) and implementations of ADTs,3
34. Establish criteria for making this choice and defend your final selection.,5
8. Describe in your own words how to copy text from one program into another.,1
36. Design the architecture of the software system based on the requirements defined in the Software Requirement Specification document,4
36. Make a paper-mache map to include relevant information about an event.,2
3. Sketch a diagram which shows these fractions or take photographs of the fractions.,2
63. Make up a new language code and write material using it.,4
1. Analyze safe and dangerous aspects of these features.,3
13. Categorise the pictures and add them to the wall display.,2
100.  Outline your experience in working with service users,1
"83. In your own words, how would you define transferable skills",1
84. Write a letter to the editor on a social issue of concern to you.,4
13. Compose a rhythm or put new words to a known melody.,4
5. Explain what is happening in the first picture of the story.,1
28. Design a building according to given specifications,4
24. What criticisms could you make ?,5
10. Draw the block diagram of the central processing unit,0
18. What criteria would you use to evaluate if your answer is correct?,5
"10. Combine elements of drama, music, and dance into a stage presentation.",4
61. Restate the Olympic motto in your own words.,1
5. Appraise the speech's effectiveness based upon the class' criteria.,5
"35. Evaluate a work of art, giving the reasons for your 5.",5
54. Recall basic math facts,0
76. Use Gauss' Law to find the electric field between the plates when the charge on them is Q,2
22. Compare three celebrations using a Venn diagram.,3
13. Compare and contrast our school to other communities.,3
27. Defend the following claim: The Cornell method works so well that it could turn even a poor lecture into a valuable learning experience.,5
"90.  Briefly compare this way of testing the satisfiability of to the more standard way using SLD Resolution, as in Prolog",1
57. in what ways trajectory patterns differ according to ABC,3
31. Explain the process (paraphrase) for finding the perimeter of a rectangular garden,1
40. How was life different in your town 100 years ago?,3
88.  How do you construct foliations on a given manifold M?,2
12. Compare and contrast animals that the class has made.,3
51. Name the main characters in the story.,0
20. How much time did he took to build a house,0
40. Evaluate two Internet sources of information about the Egyptians. Which would be a better choice for your purpose and why?,5
22. How would you rank the items given the criteria ?,5
6. Break down the main actions of the story.,3
35. Make a diorama to illustrate an important event.,2
"46. Outline an ""attack plan"" that will allow you to test your hypothesis using computational molecular modeling tools",1
21. Put in your own words...,1
41. List the procedure to draw a mixed potential or Evans' diagram,0
6. Describe in prose what is shown in graph form.,1
50. What are the parts or features of...?,3
15. Choose a paint schedule for the maintenance of an outdoor structure? (level 2),5
72.  Use the second-derivative test to determine whether critical points where f0(x) = 0 yield relative maxima or relative minima,2
"100. How do I differentiate between ""deceive"" and ""cheat on""?",3
21. Write a poem about the story.,4
96. Who is the first president   of USA,0
45. Relate your most powerful story where your use of technology in the classroom has yielded a significant outcome with a student or students,2
85. when did saudi arabia start using internet,0
65. Who can use what we know about sonnets and finish this poem?,2
11. Assess the strengths and weaknesses of the current Olympics and recommend action that should be taken in future Olympics: What can be,5
95. Express the following percentages as fractions in simplest form,1
43. Devise plans to market or make artwork more valuable.,4
"47. Given the data available on a research question, take a position and defend it.",5
55. Recall locations of a historical events,0
37. How does your pet differ from other animals?,3
49. How could we determine the number of pennies in a jar without counting them?,4
"45. If your story occurred long ago, compare that time with today in a good paragraph. If it was a modern story, compare it with a long time ago and tell what would be different.",3
34. Express your opinion of 'Drugs in Sport' through poetry.,1
85. Translate an equation into a computer spreadsheet.,1
96. How would you investigate this abnormality,3
19. Write about your feelings in relation to...,4
13. Describe what goes in each of the four areas on the first page of notes,1
19. What would you cite to defend the actions . . . ?,5
14. How would you classify the type of ...?,1
"53.  How do you distinguish between the binge-eating/purging type of anorexia nervosa and bulimia nervosa, purging type",3
4. Apply the storytelling technique here to a little story of your own.,2
87. Write a set of rules to prevent what happened in the story.,4
22. Write 5 new titles for the story that would give a good idea of what it was about,4
52. Classify types of corrosion inhibitors,1
"4. Analyze the problem, identifying its variables.",3
71. How do teenagers use code in emails and instant messages?,2
58. Is there a better solution to . . .?,5
23. Explain in one's own words how to create a query in a database.,1
80. What is a global variable?,0
"11. Analyze a work of art in terms of form, color and texture.",3
81. Can you distinguish aged rums from unaged rums by smell,3
77. What are the units of corrosion penetration rates? Relate these to Faraday's law,0
18. Write a journal from the point of view of mountaineer.,4
63. Recite the the Gaussian law,0
21. Discuss the nature of socialism.,1
53. Please label the diagram below:,0
19. State in your own words ...,1
6. Define Method in JAVA.,0
86. Translate an equation into a spreadsheet formula.,1
11. How would you explain...?,1
67. State the definition of 2 in Bloom's Taxonomy.,0
6. Can you see a possible solution to . . .?,4
50. How could you re-write this story with a city setting?,4
26. Create and perform a play about frogs.,4
70. State the pattern for expressing time in French.,0
70. Recommend how our classroom or playground could be improved.,5
24. Compare two of the characters in this book.,3
27. Explain the causes of historical events,1
"57. In a given clinical situation, select the most reasonable intervention and predict the main effects and possible side effects.",5
28. Identify the part of a eukaryotic cell.,0
"44. If your story happened in a foreign land, compare that land to the United States.",3
16. How many years does this animal live?,0
56. How would you restructure the school day to reflect children's developmental needs?,4
"3. After solving a problem, determine the degree to which the problem was solved as efficiently as possible",5
5. Define morphology,0
39. Develop a SQA Plan for a software development project which is defined in the attached document.,4
52. How many ways can you . . .?,4
60. judge the difficulty level for yourself.,5
96. Show how they have used creative writing strategies appropriate to the format,2
68. Prepare a book jacket that illustrates the kind of book as well as the story.,4
31. Determine if a character's actions were heroic,5
99. How would you show your understanding of the ABC process,2
8. Assess the appropriateness of an author's conclusions based on the evidence given.,5
35. Label the parts of the following insects: Grasshopper,0
70.  sketch a graph of velocity versus time for the upward and downward parts of a ball's flight,2
27. Create an advertising campaign,4
14. Choose a country that does not compete at the Olympics and explain why that country is not an Olympic member.,2
"30. From the information given, can you develop a set of instructions about . . .?",2
3. Analyze the movements and sounds of a frog.,3
8. Calculate the deflection of a beam under uniform loading.,2
26. What is the definition of the following terms...,0
30. Merge the different ideas into a single solution.,4
3. Discriminate the pros and cons of ____.,3
98. Develop and execute a program for this exercise,4
14. Rewrite the story from an animal's point of view.,4
9. Can you distinguish between . . .?,3
7. How can you differentiate between...?,3
54. How does Tdap differ from Td vaccine,3
69. How is scientific progress similar to Darwinian evolution according to Kuhn,3
56. Recall the definition of the formula datatype from your assignment 2.,0
76. Summarize the basic tenets of collaborative conservation.,1
1. Apply laws of statistics to evaluate the reliability of a written test.,2
15. What is the relationship between probability and statistical 3?,3
18. Compare herbatious and carnivorous animals on a Venn diagram.,3
93. Which of the two liquids is hypotonic,0
68. State the formula for the area of a circle,0
1. Can you defend your position about ... ?,5
12. Can you group by characteristics such as . . .?,2
57. Recall the equation for the Ideal Gas Law.,0
66. Can you differentiate between ethnic Chinese and ethnic Koreans,3
11. Create several scientific hypotheses to ...,4
71. Revise how to complete a complex task in order to improve the outcome.,4
99. How do you think the community should grow or change,5
65. Differentiate the following functions using the quotient rule,3
15. Compare and contrast the waterfall model with the prototyping model.,3
12. Describe the Pareto Principle in statistical software quality assurance.,1
82. Can you distinguish pot still rums from column still rums by taste,3
22. Explain how Timothy saved Phillip's life.,1
93. Construct the Data Path of the RISC Processor given in the previous question,2
14. Compose a simple rap or rhyme about zoo animals.,4
85. Which of the following actions would probably be least effective in determining the answer?,5
35. From a blueprint to describe the article depicted.,1
62. Retell the story in your words.,1
91.  How would you compare SAS with the Visual Basic 2 and SPSS for the processing and 3 of mainframe data,1
78. What solutions would you suggest for...?,4
8. Explain what is happening...,1
82. Why not compose a song about . . .?,4
79. What is  your family name,0
"40. Develop a way to teach the concept of ""adjectives"".",4
28. Draw a picture of the bears' house.,2
21. What evidence can you find to suggest that people should be regarded as the most important resource of an organisation?,3
59. Classify frogs toads and other amphibians.,1
"47. Show, through role-play, the final scene in the novel.",2
27. Contrast Olympic athletes of today with athletes of past Olympic games.,3
18. Identify three mistakes from the passage and correct them.,1
10. Justify the concept of inheritance and give the sample of code to illustrate your answer.,5
57. Specify a deterministic finite automaton (DFA) recognizing the,2
"20. Write a TV show play, puppet show, role play, song or pantomime about..",4
"38. Illustrate this caption: ""Olympic as a Media Event in the Information Society""",1
90. Write an essay in not more than 250 words about India and Technological Advancement. Use active voice as much as possible.,4
26. Identify the correct definition of osmosis.,0
31. Distinguish facts from hypotheses,3
41. Predict what happens to X if Y increases.,2
97. What can I do to investigate this problem further,3
94. which part of a data packet is used by a router to determine the destination network,0
79. What happens if you change the direction of the displacement (but not its size)?,2
74. Summarize a story in own words.,1
59. Use a costing model to compute prices on goods to maximise profits and minimise costs.,2
85. Write a logically organized argument in favor of a given position.,4
81. What criteria would you use to assess...?,5
29. Devise a different way of using X,4
21. Create a new product. Give it a name and plan a marketing campaign.,4
98. Do you think that this statement conveys the idea that i am trying to portray,5
"23. Your advice has been sought to settle the following dispute in Company X. Referring to appropriate legal principles, write a short report advising the company on the best course of action to adopt.",5
23. Derive a kinetic model from experimental data.,2
68. Sketch the blackbody curves for radiation emitted from the Sun and the Earth,2
18. Memorize the multiplication facts,0
29. Describe the economic consequence of a neolocal society. Support your description with information you have learned from this course.,5
40. In one sentence explain the main idea of a written passage.,1
77.  What happens if you restrict a determinental process to a subset R  S?,2
19. Compare and contrast the two items and produce a summary of their similarities and differences,3
20. Outline how class ArrayList could be implemented using an array,5
"2. Explain briefly the meaning of the following terms: Demography, Consumer sales promotion , and Media mix",0
48. Paraphrase what Hamlet is saying in his soliloquy.,1
33. Design a testing scenario to assess the susceptibility of an alloy to be used in a given environment?,4
29. design a cost effective strategy to generate reliable data.,4
31. in which continent does the state of suriname fall,0
67. How would you differentiate obstructive apneas from central apneas,3
24. Explain in your own words what a recessive gene is.,1
43. List three characteristics that are unique to the Cubist movement.,0
48. Select the athlete of the century and analyze why you chose this person.,3
59. Integrate training from several sources to solve a problem.,4
97. who is the founder of the kingdom of saudi Arabia,0
96. What do you think is the mass and why,5
6. How would you justify . . . ?,5
32. Do you agree...?,5
34. Design and make an animal that moves.,4
13. Trace the value of alpha after the following code executes. int alpha[5];int j;alpha[0] = 5;for (j = 1; j < 5; j++){if(j % 2 == 0)alpha[j] = alpha[j - 1] + 2;else alpha[j] = alpha[j - 1] + 3;},3
86. Can you analyze the fractures and determine which should be repaired surgically,3
"78.  Inspect each of these Boolean expressions, and determine whether each one is a sum of products, or a product of sums",3
3. Can you develop method to handle the following case . . . ?,4
62. Judge whether it would be possible to survive on an island alone and blinded. Write about it.,5
7. Define the meaning of the Olympic Motto.,0
21. Compare this book to the last book you read.,3
18. Describe what happened at...?,1
64. What questions would you ask if . . .?,2
5. How can you categorize ____ according to...?,3
17. Conclude and support which economic system leads to a higher standard of living.,5
23. Compare two dog food commercials. What is the difference between them and how do they both sell their products?,3
95. How to construct the selected information system,2
69. Pretend you are a librarian recommending this book to someone. Write a paragraph telling what  you would say.,4
27. Identify the five major prophets of the Old Testament.,0
"54. Classify the following protocols: IP, TCP, HTTP according to the ISO OSI classification",1
55. How would you create/design a new...?,4
92. How does Hawaii contrast and compare to Florida?,3
"20. Critique the other student's (or your own) speech, based on the criteria we have studied this semester.",5
8. Judge how well a project meets the criteria of a rubric.,5
56. How would you classify the geographic location of your school,1
20. Develop a set of criteria for distinguishing between a good and bad example of this.,3
15. What data was used to evaluate ____________?,5
25. Conduct an investigation to produce information to support a view.,3
7. Predict what would happen if ...,2
1. About what proportion of the population of the US is living on farms?,0
37. Evaluate board games and justify why rules are important.,5
5. Describe how Phillip and Timothy survived on the Cay.,1
15. Describe how the linear polarization method can yield corrosion rates,1
37. Develop a hypothesis.,4
99. How would you differentiate between heterodox and mainstream,3
81. Tell in your own words the beginning of the book.,1
3. Can you design a . . . to . . .?,4
15. Choose any U.S. president and explain how he exercised his power as Commander in Chief of the Armed Forces.,2
6. Develop a menu for a new healthy foods restaurant,4
6. Explain why the story has the title that it does.,1
49. Name the food groups and at least two items of food in each group.,0
"26. Write a program to calculate the SQRT for Array elements, you may use the Math class function (sqrt), the Array should include 5 Integer elements. The output should be the array elements along with their SQRT value.",4
61. Judge the value of . . .?,5
20. Create a chart that compares things that use electricity and things that do NOT use electricity.,4
58. Take a collection of photographs to demonstrate a particular point.,2
60. Restate main idea of story in own words.,1
44. List three predominant economic systems that exist,0
39. Evaluate the level of galvanic coupling between two metals using basic kinetic information? (level 4),5
48. Solve a math problem using familiar procedure or formula,2
84. Construct a Venn diagram to determine the validity of the given argument.,2
30. Identify which word begins with the same sound as the s in sun (0 of letter s),0
84. Translate a written text aloud from L2 to English.,1
"16. Use your imagination to create a picture about the story. Then, add one new thing that was not in the story.",4
17. Identify the key points in the text,1
17. How much data can be stored in the cach memory,0
19. Demonstrate how the seasons occur.,2
21. Demonstrate using the OPAC and your 0 of library organization to find a book about turtles.,2
75. Use a judge and jury to discuss the statement 'Children enjoy Anthony Browne's books because of the illustrations'.,5
99.  Develop a network based on the following information: Activity Immediate predecessors,4
7. Are you a . . . person?,5
78. What would happen if the rainfall doubled in your state next year,2
89. Revise the story and specify the type of audience that would enjoy this book.,5
83. What is part of this book did you like best. Tell why you like it?,5
56. In what ways do female offenders differ from male offenders,3
16. What judgments can you make about...?,5
"61. Recite the poem ""Auto Wreck"".",0
92. Construct an analog circuit with the following specifications,2
14. Suggest a way to deal with this scenario,2
2. Class Facility is an abstract class. Explain what this means,1
40. List the levels in Bloom's Taxonomy.,0
8. What is Encapsulation ?,0
9. Explain what is meant.,1
11. List the __________________ in descending order,0
10. Can you explain what must have happened when . . .?,3
41. Develop one plausible ending for all three short stories below.,4
14. List the data members,0
88. When did you born ?,0
"48. Given the data we've looked at on this topic, evaluate how appropriate this conclusion is and defend your answer.",5
67. Place the following in order of priority...,5
2. Can you propose an alternative plan to . . . ?,4
48. Name the artist who painted the Mona Lisa.,0
8. Draw and label a diagram of a typical stream.,0
18. Construct a model to demonstrate how it will work.,2
89. How do you analyze a marginally RCT,3
25. Explain in your own words what do you mean by the term economics?,1
50. Name the four major food groups.,0
81. What is a textual index,0
17. Compute the volume of a cylinder,2
24. Write a JAVA program to show the Overloading concept,4
61. Use the distance travelled and cost of petrol to calculate the cost of a coach trip using a spreadsheet.,2
77. What might happen if you combined...?,4
14. Rate the following recommendations and set the priority _____.,5
79. What would happen if . . .?,4
11. Can you find four different feelings Pa Lia had during the story?,3
28. Construct an alternative way to ...,4
"55. Classify the following substances as particle, atom, element, molecule, compound",1
33. In Which part of the world does he live,0
7. Calculate for x in the following equation: 12x=36,2
25. What do you recall ...?,0
12. Propose an alternative way to solve ...,4
4. Can you propose a model that would change . . . ?,4
71. Can you state in your own words what the problem is asking you to do,1
2. Apply shading to produce depth in drawing.,2
58. Recall the following pictoral example of an implementation of some queue operations,0
47. Paraphrase an important speech,1
1. List two reference parameters in the setHour function,0
"12. Trace the contents of matrix from the following statements int matrix[3][2];int j, k;for (j = 0; j < 3; j++)for (k =h 0; k < 2; k++)matrik[j][k] = j + k;",3
48. Given two opposing theories design an experiment to compare them.,4
7. Define Inheritance concept,0
10. Explain in one sentence what the method incFromN does,1
25. Create an equation to represent the solution to this problem.,4
19. Compare how different children come to school.,3
44. Outline the most important insight of the tale.,1
91. Construct the 4-Bit Ripple carry Adder Circuit,2
38. List reserved words in C programming.,0
80. What would you predict/infer from...?,4
54. Specify the thickness of a galvanized coating based on atmospheric data? (level 2),2
51. Distinguish between the following giving suitable examples,3
"94. How do we construct agents that can deliver. ""good"" assistance",2
1. Compare Calliope with Howie. Use the word bank.,1
92. Estimate expenditure on HIV/AIDS education,5
7. Design a scientific study to test the effect of different kinds of music on hens' egg production.,4
80. Tell in your own words how the setting of the story made it more interesting.,1
15. How many states are there in USA,0
4. Describe 4 types of coupling in software design.,1
10. Assess the relative effectiveness of different graphical representations of the same data or biological concept.,5
98. Summarize the main point of these two texts in your own words,1
94. Estimate roughly how long the collision process takes,5
72.  How are the adolescents with ASD similar of different from each other in their sources of communication breakdowns ?,3
56. How does one specify the syntactical restrictions,2
16. Compute the area of actual circles.,2
83.  Construct one Turing Machine for computing each of the following functions,2
14. How many loop statement available in c++?,0
51. Describe the output of this program fragment:,1
17. What hypotheses can you develop based on the data ? Why ?,4
29. Differentiate printf function calls for displaying prompts and for echoing data.,3
24. Decide which candidate would best fill the position of principal.,5
78. Was Hemingway a great American writer? First you will need to define greatness.,5
4. Define four types of traceability.,0
14. Can you defend your position about . . .?,5
89. Write a song about 'Old MacDonald' who had a bulldozer instead of a farm.,4
18. Compose an original work which incorporates five common materials in sculpture.,4
26. Decide which method of solving a problem was most effective,5
"23. In your own words, tell what the story is about.",1
74. Suppose Phillip wasn't rescued shortly after Timothy's death. How long could he have survived?,4
25. Write a program that uses nested loops to print the following output:,4
68. Predict what will happen next in.,5
46. Make a list of facts you learned from the story.,0
42. Interpret the pictures.,1
41. How was this similar to . . .?,3
5. Break down the components of a standard film camera and explain how they interact to make the machine work.,3
"50. Paraphrase this poem about Sheik Schubli, explaining what he was saying about the characteristics of a friend",1
93. Investigate whether or not the system can be solved for x; y; z,3
64. Justify and nominate ways to prevent animal extinction.,5
67.  Sketch a prediction of the field lines for the arrangement of electrodes shown in Figure 2,2
21. Can you justify the decisions you have made ?,5
1. Apply and integrate several different strategies to solve a mathematical problem (not according to one formula(,4
11. Write a C++ statement to declare a variable of type musicType name MyTune.,2
11. Can you apply the method used to some experience of your own . . .?,2
27. Create plan of local environment by drawing around boxes.,4
97. Do you devise a systematic approach in order to get larger progressions,4
70. Revise and process to improve the outcome.,4
100. How could we develop a coherent measure of success for organisations engaged in this type of activity with young people?,4
42. Evaluate your own or a peer's essay in terms of the principles of composition discussed during the semester.,5
5. Define mercantilism.,0
"4. Based on the above dataType class, list all the function members",0
8. Design a building to house your study.,4
95. how do we devise a way to enforce the laws,4
63. Judge whether Olympic Ideals are realistic or unrealistic for the contemporary elite athlete.,5
"33. Examine what helps to make a good Olympics? Think about money, schedules, sports and people.",3
6. Show the value of x after running this program fragment,2
29. Identify the standard peripheral components of a computer.,0
6. Are there students who should not use the Cornell method?,5
90. How to construct simple solutions when problems are complex?,2
43. How would you distinguish between polymyositis and viral myositis in a 42-year-old man with weakness and a rash?,3
68. Select the best title for a passage,1
49. Paraphrase the poem in your own words,1
39. How is . . . similar to . . .?,3
76. Examine differences between the means of each individual switching factor.,3
26. Explain in your own words what is meant by mercantilism.,1
69. Predict whether Phillip will ever go back to visit the Cay after several years of recovery. Assuming he gets his sight back.,5
15. How can you explain what is meant ...?,1
49. Solve for the ten following fraction multiplication problems. Please make sure to show all your work.,2
19. Determine the author's point of view,1
"76. Using straight value depreciation, decide between two copper-nickel alloys for the design of a heat exchanger.",5
59. Judge aesthetic qualities and relationship to future values.,5
67. Rewrite a part in the poem using a different speaker,1
75. Use a sketch too find the exact value of each expression,2
"7. By comparing the map of the tectonic plates to the earthquake map, what inferences can you make?",3
16. Make a list of the main events of the story.,0
"14. Compare and contrast preview questions, clarifying questions and anticipated exam questions, including how each relates to the notetaking process?",3
13. How can you describe _____________?,1
"37. Given these five corrosion inhibitors, V, W, X, Y, Z, identify which are passivators",1
17. Compare fall and spring,3
87. Translate the following passage from The Iliad into English.,1
"89.  Compare and contrast two treatments of either drapery or animals by Greek sculptors, establishing their artistic contexts",1
"34. In a teaching simulation with your peers role-playing 6th grade students, demonstrate the principle of reinforcement in classroom interactions and prepare a half page description of what happened during the simulation that validated the principle.",2
24. Describe an experiment to answer the question of the effects of weight on the fall of an object.,2
5. Apply your understanding the Olympic spirit to develop a new motto or slogan.,2
93. Estimate the difficulty of the question,5
80. What would you do if a heavy growth of bacteria had occurred,2
8. Can you compare your . . . with that presented in . . .?,3
22. What is the difference between atomic and molecular mass?,1
7. Judge the value of... What do you think about...?,5
87. Can you please analyze modern contemporary culture and tell me how your work plays a significant part in the remains of our post-modernist culture ?,3
17. What criteria would you use to assess...?,5
22. Identify a phrase as a simile,0
"34. Explain the term conjugal families, by making reference to the different types of societies to which they could belong.",3
"66. Rewrite the sentence in your head, following the direction given below",1
